Source,Target
dscvrid,CakKhum
aldmrmli,erossabila
WibowoWilo26212,AnKiiim_
DzakwanFirst,eko_is_oke
wonglicik062,AlnilamOmar
rayxelhudriano,Isra_KK
rafly_raboni,brfelindra
fien01346271,tempodotco
AryaG1980,yusuf_dumdum
WahyudiR272125,republikaonline
kundangkurnia,dragoun
slamet_lesmono,brfelindra
djadja222,Jawirgnat
kamkagiya,kamkagiya
AlmaghribiS,saiful_mujani
user270103,Ardyan_jaya
h991210,BosPurwa
NadaArif7,PartaiSocmed
budi_utama90,brfelindra
JukiHoki,JukiHoki
garasih40819,blackshark7890
SunGoKhonk,ArdiZA15
KeepWalkzz,EdySularno96489
Brilian_Ng,Brilian_Ng
andreasfobi,andreasfobi
dgbjyfbhjjndfb,tanyarlfes
Ardyan_jaya,user270103
Syafrud50039962,ZulkifliLubis69
AndisBoga,Jelli_cent
AgricolaFilius,mediaindonesia
hyyugaaa,Homo_sapiens21
raupwae,ayy_les
abu_hafidz66,alisyarief
febi_sus83,brfelindra
jupithors,jupithors
__anomali__,BayuAngora
NHenryp29864,Tan_Mar3M
whenimwithhyuck,tanyarlfes
Haehaaee,txtdaritax
amatredjo80,NenkMonica
mrmdhxx,farieshaiza
jorsecreative,Tan_Mar3M
JohnnyTheBoyyyy,GunRomli
kybaras,dei8hgt
BilanganGanjil,democrazymedia
liamjustiman,yusuf_dumdum
SunaryoDonny,emerson_yuntho
aewin86,AndreasSolusi
ThisisAfhee,saiful_mujani
M4M4D_C41303L,KangManto123
benstorming_,Utayrus_Ayd
user270103,Ardyan_jaya
WONYOgenz,ROWOONgenz
abdulah_se33672,b_priyambar28
GrosirJAMdanTAS,Jatosint
ParhusipDoland,setkabgoid
heyho9584455737,DokterTifa
Kiboy1305,yusuf_dumdum
Tasyawa,tvOneNews
Cryptoup01,Opposisi6890
tamdidntsleep,zahwaaaul
Mdy_Asmara1701,CakKhum
mybxpress,bgasprmdya
pieteriskandar0,muchlis_ar
PaungMar25667,erickthohir
Sylusmyloves,loveyouicecream
meipri,KangManto123
FudyEJ,GunRomli
okaythathurts,MasBRO_back
feroferraferri,_riverheaven
HukumkuOfficial,HukumkuOfficial
vanc1Bozz,suk4bebek_v2
swiraswiri,Irfan7445863491
henkuse,kegblgnunfaedh
LukmantoHendy,yusuf_dumdum
ashadiyya75269,quintta1217
NHenryp29864,Ary_PrasKe2
ngrzeee,republikaonline
aghjbhf,tanyarlfes
amer_zoni77,brfelindra
rayxtreem,OmJ_JeNggot
binaowrld,k_kevins
hsubhan,ZulkifliLubis69
sevencol0rs,sevencol0rs
KomendrNetizen,budimandjatmiko
Rhymeblck,txtdrimedia
dodotzack123,yusuf_dumdum
ly_Nadzka,GunRomli
ttbozu8,emeliney31
bk_jackBK,DokterTifa
Aminuddin001,kompascom
yunipasca,MasBRO_back
BadruRamadan,emeliney31
komodomenuntut,yenoMtaEtnaCuoY
KangSuparmin,cnbcindonesia
fordslator,fordslator
siedua,Markadina99
ayyu39,emeliney31
S_Smith79,pmprothecc00
wahid118,susipudjiastuti
Ogaman888,ZoneVenomWar
La21921Lalane,Tree_333
SNALVENHA_1,tanyarlfes
srohmah6793,xaviero_xaviero
AryaPratam8468,FreedomGugat
Dsusantono1102,Franken_blues
Cryptocius,albert54769
nomoreadin,tanyarlfes
TeinjiDeWulf,fajarnugros
13theEnki,Sabarhutag31737
jwscldh,ARSIPAJA
newghanizm,AyuAprillawati
CAMERALIVE6849,msaid_didu
meeyeaw,meeyeaw
Divastudio78,pangrib_u
NESVERLAND,txtdrjkt
acenk_99,mediaindonesia
anaknyasiape,EviDrajat
JhonRiz57726790,ajengcute16__
AgungPu2549707,DedynurPalakka
dimarcotop,hennessNFT
ricky_lin46890,_riverheaven
Notonogoro67941,GunRomli
iris_4evermore,Kimberley_PS08
sharecoupont,Sundakiwari1
ILHAM16110174,rebo_kliwon
kyomi_nabiba,brfelindra
megaxuz,DS_yantie
ChukuduNamex,vincanyoo
Wo2_Anis_ORBA,NenkMonica
hengki_kuwat,brfelindra
nalarto,satriohendri
ElFatchah,butterscotchaw
AdineHartawan,tanyarlfes
xsupreme990,FstrongW
anton_sukisno,romoatheist
portman_ellie,neVerAl0nely
zojimm,Mdy_Asmara1701
titin_widi8,brfelindra
beng_beng2157,yusuf_dumdum
lasio88,MasBRO_back
Cryptoup01,GunRomli
santoz92725,ekokuntadhi1
m_harry59032,tanyakanrl
Sigromilir01,KangManto123
RusmanpeCu,tempodotco
SaputraGone,Piyusaja2
megaxuz,PaijoKhentirr
PoppyAgathaLiu,tanyarlfes
Cryptoup01,yusuf_dumdum
elhwoe,NESVERLAND
FajarAchadi1,Mdy_Asmara1701
XlaluWin,CNNIndonesia
adypanha,geloraco
carliekattie,lagivirals
hennessNFT,dimarcotop
agbudisan,KompasTV
OiTrairat,Nobody_2811
LAChroniclesRPG,erickthohir
SasaSasa1559993,editya77
Frelithia,whensaid___
Wo2_Anis_ORBA,AirinDatangLagi
joeyakarta,ndlahombike
sn2421746,realfedinuril
Condrom54866688,TOM5helby
defranstony,KompasTV
Wo2_Anis_ORBA,BebySoSweet
MT0t0k,Mdy_Asmara1701
setiawan_chndra,brfelindra
maras_tarihoran,brfelindra
HeruNugraha82,Rizieq_Sangean
zxcptq,MasBRO_back
AriesaNorman,BayuAngora
gptgtm,ptrbrmnty
INAJINAJINAJ,FayaAtika
ady_anaa,AanSaputraa_
Sabarhutag31737,13theEnki
INAJINAJINAJ,Ary_PrasKe2
erwinnurfida_,tanyarlfes
tasnim_ardianto,brfelindra
kya_ni_97,nandoongg
aimyatsuu39769,aimyatsuu39769
Ink_indie119,MukomukoRa
NHenryp29864,RIPDEMOKRASI
aimyatsuu39769,msrgamedev
INAJINAJINAJ,mediaindonesia
neVerAl0nely,ZulkifliLubis69
amel_laksana,brfelindra
aldy_kan,KangManto123
CutePan2399,mediaindonesia
Amargrounding,BosPurwa
rahmatzasmiputr,tanyarlfes
nuji_jar31760,bumnbersatu
INAJINAJINAJ,Heraloebss
hutanamigreek,boy_7776
bermataempat,AanSaputraa_
alvian_albahar,Kimberley_PS08
thamskyyyy,ayuksetiaaa
Bungong456,kompascom
johan_tirto33,brfelindra
SapuJagad,apostiera
hanhan2901,KangManto123
Dft_Petrux,IrawanRommi
INDONESIA_R18,neVerAl0nely
dazzinglyy,tanyarlfes
baliboyish,MasBRO_back
dosopriyanto,CNNIndonesia
AfriansyahVico,Franken_blues
cyberprim,Mdy_Asmara1701
AchmadZael1624,geloraco
MuthiyaKhanza,rizalkmpt
HanooSuburb,meeyeaw
Kobar_Baru,xquitavee
araleanor,araleanor
alpha777ma11861,PresidenKopi
IDelihsan10287,Mdy_Asmara1701
Inhumans999,unloove
Thinksmartboys9,tanyarlfes
Altruist2103,KangManto123
AanParlin28678,mas_veel
rh_rahmawan,ommi_siregar
13theEnki,Rizieq_Sangean
SunGoKhonk,mediaindonesia
AsepBerlian8,gtobing2903
SunGoKhonk,KompasTV
kimy_habib,Mdy_Asmara1701
Nutmegjazz,Heraloebss
maulanaahmadsi1,arifin34533
MrSmashBros,yvzluna
kiwalipitu,Ayang_Lagi6
Cero_Amunk09,BayuAngora
naya611834,OhMyGoat5
puspaswarna,tonpas75
BMultinovic,democrazymedia
DS27rolas,Kimberley_PS08
celebesid_,victoragiular
krienfurge,tempodotco
Abermartin,yusuf_dumdum
Fahrulrozi69904,ajengcute16__
ardi_rmdn,brfelindra
NowFavorit,BiLLRaY2019
Rahadi0816,satriohendri
ananda_ldy88,brfelindra
MelPrap170845,Adiprayitno_20
D12khard,VDSyst3msX
IzzyBoy27,Telkomsel
skeptisberat,dahanlapuk
omi_kawa,V3g3L
ankbaru_nongol,tanyarlfes
obedewardhana,gatse8
Dave08Ben,dragoun
wrahardian2,CNNIndonesia
ucuptohorizon,ilacantip
Gapuak_1918,GunRomli
GunadiCavalera,yusuf_dumdum
damararia_,brfelindra
stroulatte,tanyarlfes
Gapuak_1918,Mdy_Asmara1701
mbangunCom,zainalamochtar
RezimBonek4__,OposisiCerdas
EduwWahyana,xquitavee
robbyaangga,tanyarlfes
agent_pin,Heraloebss
IjayKang203,ch_chotimah2
cumabacabaca,geloraco
Zaindamai,KompasTV
spirithardiesha,MasBRO_back
scaredycat_life,ayy_les
amtvNU,TeddGus
ilhamsaid1000,ZulkifliLubis69
diaryesterday,ddwnt_
vmastratocaster,chaintodman
Wonyouyng,woompin
BajakLaut369,zarryhendrik
lisapunyakku25,DaymeFree
hendraungkul,pamswakarsa_
2dibukaB,Puspen_TNI
amiruddintambu1,NenkMonica
Sudarmanmitro,Sudarmanmitro
yoenkpinem,Srik4ndiMuslim2
AanParlin28678,drhthariq
Dyananjani89,detikcom
JoediYuhara,GunRomli
drudnk,txtdrbekasi
enzopangolohi,Info24Jam
ceritahidpku,gatse8
gtelatoz,gacutuk
anyaaexzy,tanyarlfes
MSajidan55937,Epricila10
HadiKusnul18090,ajengcute16__
AbiyuZevan,kegblgnunfaedh
blackgoat42121,yusuf_dumdum
IndoMeals,Opposisi6890
EkaWinahyu,are_inismyname
Montir_UFO,andre_rosiade
heronholle,apostiera
PribadiBales,Simemaki
windewaoke,Simemaki
faridraje,Mdy_Asmara1701
yehseoh,yehseoh
RIPDEMOKRASI,INDONESIAPERKS4
maulana_ishann,brfelindra
jackboy88,BayuAngora
OctaTengil90918,Heraloebss
vacazcy,MasBRO_back
rabunjauhsekali,Muklisabdulla12
phoenicisia,sweetiewhisky
dimarcotop,dimarcotop
dimarcotop,kompascom
pofmudblurry,drhthariq
nocanjujur,yusuf_dumdum
untaf30n20,AanSaputraa_
hendrafael,gatse8
fr_rudin,kumparan
dinoridgid,RezaUnscripted
nizaminz,Opposisi6890
ratu_putri2,brfelindra
DjoyoD_joyo789,denismalhotra
K4rynSituluN,ARSIPAJA
dagelanx,Acee_oi
entongwewew,tempodotco
ayani_suryana,brfelindra
WSatriyono,yusuf_dumdum
dimarcotop,detikcom
sukabbanjar,Rizieq_Sangean
memmbara,lagivirals
Gogic2019,Kimberley_PS08
astrida_kaumah4,brfelindra
Kiamat_Change,bnsphrxyzzz
RezaMukhamad1,Adiprayitno_20
jirank9081,AnalisaCrypto
ajaha_lestaluhu,yusuf_dumdum
Wicaksono_J,tempodotco
alamoha28,Metro_TV
rikseey,lambepaklurah
kintanciella,tanyarlfes
danhappyaja,geloraco
CilacapU,cryptondo
Majinterra2008,democrazymedia
sainlearning,DS_yantie
bluefordrmz,NCTsmtown_DREAM
ssoooyyaa,tanyarlfes
lakasyut,gatse8
AhryBahry,Mdy_Asmara1701
liefrans2,gatse8
AgustinusTopik,Adiprayitno_20
Yoes33687368,OposisiCerdas
onie13375,tempodotco
renaldy_permana,Sentinel111085
Mimin_Jelita,BangJarwoSopo7
antx81,bluethunderz
pearpinelie,tanyarlfes
scaredycat_life,AndiSartika1717
londoedan_nan,JMAWibowoCooper
nurcahyonoedy6,Kimberley_PS08
Arkananta_88,Uki23
sambeljengkol07,lonotwor
gembeldigital,asumsico
Kiamat_Change,susipudjiastuti
Zapeach_,bgasprmdya
bakbukman,xquitavee
tanjung_nuzul,DedynurPalakka
mierthea78,sjafriesjams
RanggaA06829,Mdy_Asmara1701
Smwh07619212,pandji
Neerwan01,WongAlasRoban
embersobat,GulaiItam
BPrabowo453807,democrazymedia
JowoAbangan,geloraco
justkindoftrash,jinterstelar
Priagarislurus,prastow
kimurwakanti,ZulkifliLubis69
ooonad,elleanoorr
Tembakoldilaut,detikcom
Dyananjani89,detikcom
renaldy_permana,Sentinel111085
Bayujuniorr,tempodotco
RaviMilan93,Anak__Ogi
armstrong_jeje,GunRomli
ethadisaputra,unilubis
misterqueeen,lambepaklurah
ReinhadPar,samhugget
gearcloudy,gearcloudy
nura_fitani,brfelindra
rachasweet123,orilookstore
minha157,antheros__
DOITSMARTWAY,tempodotco
rafireyn,hohehohenho
dedi_gunaw72332,xquitavee
laras_widiastut,brfelindra
tweet_iban,dkutacimi
Mary10322802,Nicho_Silalahi
primanez,BANGSAygSUJUD
reoguhuy,bumnbersatu
Anonymouslem_X,mokootoo
T72137102Time,Ruka_BM77
Utayrus_Ayd,StefanAntonio__
Tekarok008,denismalhotra
TOPssst,TOPssst
ArgentianaA,degreatiskandar
misterqueeen,tanyarlfes
reni_juw610,brfelindra
EliasDipo,Yha2n3
TOPssst,TOPssst
Zidan05371884,mas_veel
CosmicConjurer9,gatse8
Om_HME,bumnbersatu
RYANKENCANA,NenkMonica
Tekarok008,Kimberley_PS08
rezafdlhm,jondhez
jumunay4th,tanyarlfes
s0ndelurus,tanyarlfes
bolang_beleng,Heraloebss
Smwh07619212,_BangFu
Arif_Analyst,NegaWahlords
khairilwong,ichl4
DOITSMARTWAY,bachrum_achmadi
ma4643,Bang_Ramzan
h1llsidemanor,cloyingie
Rachmayanto,tribunnews
pukiiiiiiiiii1,JinNonik
RFauzy5,Srik4ndiMuslim2
arman041411,EviDrajat
maya_sariiiii,brfelindra
billllliiee,tanyarlfes
Widibedah2,murdoyong
PoltakTamb29978,kompascom
TanTan832803,PresidenKopi
abdi_rakyat_24,yudiharahap46
ardirifcky,whensaid___
afif_pratama99,brfelindra
silent_night21,andre_rosiade
AndoFernan50737,geloraco
ayahnyaalifa,BayuAngora
wiwi_yanti2,brfelindra
qalqalahsughra,kegblgnunfaedh
nisa_sab23,brfelindra
no_freedoms,tanyarlfes
onorus7940,V3g3L
Muklisabdulla12,Kimyoun71674307
Rara23Au,tanyarlfes
GabrielWic77590,Heraloebss
SartonoBisri01,tempodotco
Unggul_sejagatd,marzukialie_MA
egoisaa,tanyarlfes
UKhaththab,UKhaththab
gocapje,bacottetangga__
pinokyow_,tanyakanrl
djumelan,geloraco
pangeran_sira3,brfelindra
ikhsan_winarmo1,brfelindra
Ikhsan_rimun,brfelindra
FuadKader182478,BANGSAygSUJUD
BBarakuda5264,ChainsawSimple
sftr_ani,PresidenKopi
hyyugaaa,Muklisabdulla12
fajar_suyanto,brfelindra
Kosasih0706,BANGSAygSUJUD
KurniatiCatur,DS_yantie
oopo65615,hrdbacot
anaknyasiape,DedynurPalakka
Budiadja99,blackshark7890
Lek_Tumidjo,Kimberley_PS08
Muhamma65051169,DS_yantie
HolyMuti19732,vlairoe
cikuaciiii,tanyarlfes
ArSunantoaris,msobri99
dalimin_damanik,brfelindra
RonnyYulianto13,violla0911
steven_kurni,brfelindra
fitriiiiy_,tanyakanrl
Winarnobager,Kimberley_PS08
aryatylg25,inianggrek_
tsumiarsa,Gojekmilitan
dela_danti,brfelindra
onorus7940,LexMarteg
kamenrider_ride,Muklisabdulla12
y_moane,ImanPatuy
Syaifud30457221,DokterTifa
chysys378,emeliney31
lightblouie,Mochimociluv
Ragilkunings,Heraloebss
BaseinspekS,Naz_lira
kerdusWINE,whitepadi_
lanono1971,Bang_Ramzan
Politama21,susipudjiastuti
GembelProj95880,erickthohir
Ariefff92839705,ChainsawSimple
estarossaaa,Pai_C1
Lek_Tumidjo,SantorinisSun
milikandi,milikandi
ningtuing,vtreelogy
milikandi,milikandi
lanono1971,Kimberley_PS08
HutanRaja41790,Mdy_Asmara1701
lituhayuutari,vtreelogy
JonsManik72399,Kimberley_PS08
Muklisabdulla12,eveisgenevieve
cakjoe_peace,msaid_didu
bangkong1111,delecerak
rizky89_pwr,CNNIndonesia
GulaiItam,NenkMonica
ShanumAri,Piyusaja2
paramita_wtuti,brfelindra
Bronchj99051583,CNNIndonesia
Aldyscofield,emeliney31
Muklisabdulla12,Knightmetal1
toothlesspawie,kegblgnunfaedh
naela_hareska,brfelindra
aoi_7moon,tanyarlfes
cadoize3,iwanfals
Ha12236523,tempodotco
CifuiLui,Mdy_Asmara1701
mangunsong63,liputan6dotcom
jonasvrada,WagimanDeep212_
riandrika,Muklisabdulla12
0rHockey,ZulkifliLubis69
juli_yuniar,brfelindra
ajartwiterran,BayuAngora
MardianahA17345,Mdy_Asmara1701
bluec0ck,bgasprmdya
RFauzy5,Mdy_Asmara1701
Kiamat_Change,Rizieq_Sangean
illvvinati,cinnamongir1c
HadiKusnul18090,Kimberley_PS08
putri_kar88,brfelindra
mer0hkq,califonrea
wtpdua,KatolikG
kangmaz_eco,tanyarlfes
Muklisabdulla12,Knightmetal1
RuleMaker101,amer7211
cama_latte,cama_latte
nrhylis,NenkMonica
bagusrangin77,yusuf_dumdum
carliekattie,Bang_Ramzan
babyngep3t,tanyarlfes
kuetarot,RajaJuliAntoni
mbeuuk,RadioElshinta
Sisileeee_,MasBRO_back
carboncengitz,somexthread
mbehehehek,mbehehehek
AliDjoko1,susipudjiastuti
rini_okt568,brfelindra
wongAyoe2021,PaltiWest2024
perkasaalam_md,AdamVelcro
NESVERLAND,gacutuk
dina_utami200,brfelindra
nadia_idahass60,brfelindra
Legislator75,UmarHasibuan__
Chanelshaka7,realfedinuril
aseli_rose,gatse8
sesinoona_,tanyarlfes
sukmawijaya91,are_inismyname
whitemustang79,gatse8
amberembed,HSmanmore
bila_ftr69,brfelindra
GMambruk,BayuAngora
edwardyurianto,V3g3L
arabela_hisan52,brfelindra
M4T4_ANG1N,ommi_siregar
Bagoes30274908,wootteocome
ellis_puspa,brfelindra
wedusgan,wedusgan
Ariefff92839705,mardigu024
fadil_hidayt5,brfelindra
roweeasley,bacottetangga__
bonjurno31,pangrib_u
__Verstappen1,BosPurwa
ayu_hastuti462,brfelindra
Rebeliouskacaw,dscvrid
perysaaa,AanSaputraa_
nayama_azra2,brfelindra
l0veis_You,Heraloebss
Burjobs211,Burjobs211
gg_02022020,FelixSGL1
KPK_RI,KPK_RI
KPK_RI,KPK_RI
Kosasih0706,mas_veel
syafiqhihi,sosmedkeras
sxgani,Kanseulir
syafiqhihi,somexthread
RyanIsra,ZulkifliLubis69
Semorobumi_MU,mas_veel
bluethunderz,Naz_lira
anastasia_kusma,brfelindra
dodi_setiawan20,brfelindra
kejukacangcokla,dragoun
kamilue39642,Dennysiregar7
figlio_delsole2,prabowo
AgungPu2549707,S4N_W1B1
santacalico,gatse8
doppelgangerenj,asistencamat
BawelVivie25896,Bayumaruti
edwardyurianto,tanyarlfes
evey9993,lambepaklurah
AdieArdhie,Kimberley_PS08
handoyo0912,Boediantar4
hemaviton99,Kimberley_PS08
naniadalahapa,geloraco
bakar_sagu24385,neVerAl0nely
emyr_za1,oatstroberi
jstordinrypple,Pai_C1
Dee_Rose82,Nurulygkaukenal
DaniRamdaniGum1,StefanAntonio__
yawnzzdm,cyeonjuncute
scmazee,tanyarlfes
Nnurry_,AlnilamOmar
playplaybosque1,yaniarsim
PutriKayan16645,Piyusaja2
CryptoNFT_L,dragoun
cahy4nto,DedynurPalakka
juli_pumawati,brfelindra
khalid_wibowo91,brfelindra
yourhighvolume,edi_andriadi
airazorx,airazorx
wahyuniyoon09,Mochimociluv
caponkbiru,Intel_Imut
TeinjiDeWulf,riedjal_2802
akungemes,akungemes
K7_m0en,SantorinisSun
RickyDiningrat1,democrazymedia
resta_gulayah,brfelindra
widiys_rhma,brfelindra
shinta_claura,ayundyya
sya_qi1,NenkMonica
kijanggalak,kompascom
stwpeed,gryfindour
ronalduckz,PartaiSocmed
Nurbaittii_,tanyarlfes
soenyotoscm,BarisanPemudaRI
khansasaaaaaaa,bgasprmdya
AngellaS3829,AhsanKhairuAmal
jimbonitukucing,Damlazuuura
radiopatria,radiopatria
dos135790,xquitavee
observer3200,saiful_mujani
INAJINAJINAJ,ainurohman
jonsa61664335,satriohendri
agoeng_set,pmparmudji
yourhighvolume,NenkMonica
ramzi_rian,brfelindra
AliAzimarz40787,BigAlphaID
Megatop99,herihero88
elma_suartini,brfelindra
diddekarisma,gacutuk
slamet_sumadi1,brfelindra
BanyuBe68865977,Boediantar4
layla_gini,brfelindra
SEWUTELULOH,matjanmi
ulva_kus20,brfelindra
HitamSmt,tempodotco
AkangCabang,gatse8
KRathalos97,1909Beat44584
SteveRo19538478,G0LIATH87
sayapkanan212,faoziue
pasbond17,Kimberley_PS08
tumpakketrekwae,clairvoyand
Faraz_kepri,neVerAl0nely
diarypink65,mezzaquartz
lili_astuti2,brfelindra
bibibcabul,mas_veel
yana_novianto,brfelindra
naeviscallin9,ramaArsy1
hm_dermawanzain,AreaStw69
abebececede,akungemes
gandi_jailani,brfelindra
SantosoSan15931,msaid_didu
Huud03,Sentinel111085
Pramudji2,Jayabay19479190
radentugimin,susipudjiastuti
farah_pd30,brfelindra
bangsamsul_,ommi_siregar
sara_sari12,brfelindra
puten_hijau,hilyafajrina
lucimaya123,lucimaya123
pembacot777,Warkopgemoy
Xousrl17,Dee_Rose82
babangkres,txtdrimedia
doudouboncel,Mdy_Asmara1701
justreadwrite,ArChaa30
pinktesting,BebySoSweet
Dziqii,LordJurrien
AkhirZainul,democrazymedia
Rizal8382367668,xquitavee
aney_manela,brfelindra
Baguscar,kompascom
paulin_hryanti2,brfelindra
hauzabid,black_jaackk
henz_komunika,henz_komunika
WiwitWibis,tanyarlfes
crocodileyy,tanyarlfes
chandra_hasan7,brfelindra
gasti_pal70,brfelindra
to_sanyo,Jateng_Twit
alif_bntng000,brfelindra
bambang_w66,brfelindra
zara_widiyanti,brfelindra
urladies24,vlairoe
shakiraa_e,kegblgnunfaedh
amorveruss,dimasdimm_
fpl_pipi,WidhiaChandra
zahra_wulann,brfelindra
bthtenang11,tanyarlfes
reza_63,geloraco
shi_sigma,Sentjoko
jaeyeollay,tanyarlfes
denny_s3t1awan,PartaiSocmed
Abuubaidan,setkabgoid
RamaAdamfaathir,fajarnugros
m_ganda55,brfelindra
KangSuparmin,CNNIndonesia
13theEnki,bacottetangga__
Lyraauliakss,chereadytoshine
mika_tahm1,brfelindra
zahra_septiani0,brfelindra
ayenhen,Mundiwangi4
citlvali,arewhyenn
Okha_P,Variable_7
kyydiaryy,deeyafa
Wwn0303,denismalhotra
aminmudzakir,andikamalreza
KangSuparmin,kumparan
Megatop99,BiLLRaY2019
mukhamadal99509,ZulkifliLubis69
FahreziBadrun,erickthohir
novi_ahan56,brfelindra
kacangbolong,kacangbolong
Wgwgwg_wg,barengwarga
Jinkura2ok,Mdy_Asmara1701
LiaDadi3,gssahur
damar_setya72,brfelindra
pajakpekalongan,pajakpekalongan
pajakpekalongan,pajakpekalongan
BaloinejaBias,CNNIndonesia
enchait,pawnicake
13theEnki,LULUSAN_SD_
baserealnews,dkutacimi
febul0us,bacottetangga__
joukrnalist,abcdefakeheru
crazzzy__olaa,wannabeursbby
pranata_tamba99,brfelindra
lukman_dsuede,BANGSAygSUJUD
OmpungGuru,BRajalalo
ilypipo,tanyarlfes
rahmattaufiqq96,ZulkifliLubis69
kamaria_rahimah,brfelindra
Mayapada0812,Jojobetako2
GrimbleXGrumble,kumparan
AntokYunit29676,kopididid
fakhrulrj,fakhrulrj
samsul_strs,brfelindra
bala_sitorus,brfelindra
wonglicik062,Heraloebss
lalanaulala,Mochimociluv
irfann_ssnto3,brfelindra
Lexskra,Jateng_Twit
rinaidk,tanyarlfes
alexG73486556,xquitavee
Nemathelm,Nemathelm
yoyo_parda67,brfelindra
mengamini_,V3g3L
variztelrooy,teralienasi
mistamosby,RobertAlJamedi
wonglicik062,V3g3L
inndriii11,tanyarlfes
PallakaGO,DedynurPalakka
CLLim13,PreciosaKanti
TSutianah36443,Mdy_Asmara1701
wawan_wnrn,brfelindra
wonderpiu,tanyarlfes
giziherbalya,gatse8
daddydon65,fmtoday
rrapxy,isthatubabe
B51567781,emeliney31
harjo_rajata,brfelindra
Judakusumah1,cak_daus
DedynurPalakka,PallakaGO
Syaifud30457221,susipudjiastuti
brainlotca45261,ariyanto50852
adi_sutoyo20,brfelindra
cadoize3,Heraloebss
syah_rena6,brfelindra
KurooStrr,kamengkap
PallakaGO,DedynurPalakka
hndayani_chyani,brfelindra
AngestikaD,Heraloebss
afsha_zeniaa,brfelindra
1717Ramzi13865,GoodNewsJurnal
ArifAndri19,gatse8
Srik4ndiMuslim2,BayuAlif2000
AdeAnas730136,mas_veel
brainlotca45261,su39014
hothazelnutt,intinyadeh
melati_anindya,brfelindra
Nasir16081955,bachrum_achmadi
Andreas130869,blue_berets7
